CaO,Sc
2.181,15
1.231,13
1.789,15
1.606,15
1.675,15
1.655,13
1.637,15
44.557,40
37.24,38
36.846,38
24.031,29
26.397,34
21.667,31
26.491,30
35.225,36
29.162,31
22.69,29
20.948,28
45.554,42
20.783,31
44.394,41
10.936,36
21.66,31
19.054,25
39.683,35
39.574,35
43.46,40
41.295,40
41.22,37
38.848,39
35.641,35
33.203,36
36.658,36
37.271,36
23.969,32
34.083,36
36.065,36
30.661,33
38.998,36
32.814,36
36.281,35
31.647,36
32.384,34
25.582,30
26.944,31
27.625,31
29.334,31
29.113,33
32.937,37
28.591,33
29.687,35
30.34,33
33.843,36
30.41,35
30.486,34
31.268,34
33.701,36
34.365,36
29.495,34
31.938,36
33.19,37
33.609,38
27.294,33
23.647,29
26.999,32
31.972,34
26.024,31
27.148,29
20.286,28
25.318,33
33.455,36
41.803,40
30.01,34
37.127,38
28.37,31
17.824,29
32.059,34
20.584,26
27.434,34
28.159,35
21.597,30
28.308,34
27.02,32
43.228,40
27.318,31
1.055,14
0.852,15
1.764,12
0.396,14
0.589,12
0.519,13
0.271,12
0.239,12
0.29,13
0.361,13
0.259,13
0.212,12
0.927,17
1.303,17
0.286,11
0.1,9
0.206,13
0.26,13
0.181,15
0.206,14
0.127,13
0.058,17
0.064,14
0.022,11
0.005,13
0.089,16
0.112,18
0.103,13
0.054,14
0.061,13
0.073,15
3.551,16
11.632,22
30.667,33
13.847,25
8.43,20
40.142,37
37.36,33
33.297,33
38.607,36
27.161,31
37.516,37
31.806,34
33.966,35
29.743,31
19.335,26
34.812,35
32.49,32
39.056,38
33.674,33
34.822,33
29.736,33
36.682,36
30.327,33
28.167,30
2.845,7
3.132,8
6.94,14
44.959,43
48.237,41
42.603,38
50.612,45
47.752,43
42.067,44
50.243,41
46.814,40
52.95,43
40.643,36
50.047,42
45.411,41
28.764,29
49.913,42
51.918,43
47.801,39
49.373,40
48.596,44
45.409,39
49.595,44
52.038,44
49.741,43
43.214,39
